2_1	1	1.97215e-31	19
2_2	1	1.97215e-31	353
2_3	1	1.97215e-31	61
3_1	1	2.52223e-30	5
3_2	1	0.143594	18
3_3	1	0.277997	2
3_4	1	2.52223e-30	176
3_5	1	0.0528315	64
3_6	1	0.666667	13
3_8	1	3.71011e-30	31
4_1	1.0243	0.0264935	3
4_2	1.0468	0.205414	14
4_4	1.0854	0.328271	44
4_5	1.0994	0.458839	1
4_8	0.98675	0.265016	6
4_9	0.9	0.45	3
4_10	1	1	1
4_12	0.95526	0.961158	8
4_14	1.0243	0.0264935	37
4_15	1.0685	0.643472	1
4_16	1.0685	0.643472	42
4_19	1.2	1.8	601
4_20	1.2	1.8	1
4_21	0.9	0.45	1
4_25	0.9	1.15952	8
4_27	1.0243	0.0264935	55
4_29	1.0565	0.658544	2
5_2	1.0747	0.304178	40
5_4	1.1123	0.504546	5
5_6	1.1389	0.771182	4
5_11	1.0131	0.840117	4
5_20	1.1537	1.56554	1
5_21	1.1537	1.56554	10
5_27	0.99437	0.278635	1
5_32	1.0472	0.0891649	49
5_35	0.92618	1.67842	1
5_45	0.94136	1.76867	1
5_46	0.90457	1.76211	7
5_48	0.91493	2.49897	2
5_52	0.9	3.9	14
5_62	0.98064	0.800463	27
5_64	1.0075	1.08339	1
5_68	1.0472	0.094505	1
5_71	1.0472	1.25635	1
5_94	1.0062	0.627752	2
5_96	0.93333	1.95556	15
5_97	0.8	1.6	3
6_36	1.1053	0.765943	3
6_41	1.0089	0.745453	1
6_44	1.1075	1.36747	1
6_57	1.0176	2.69466	1
6_91	1.0182	4.69435	5
6_101	1.0948	3.01686	1
6_109	1.0512	1.62804	2
6_153	1.196	1.69845	1
6_163	1.0116	1.01043	2
6_198	0.81546	1.5596	1
6_226	1.173	2.07868	1
6_236	1.1716	2.92483	1
6_251	0.87807	3.64481	2
6_257	1.0342	1.41114	2
6_263	0.88676	4.78291	417
6_281	0.81917	6.18822	1
6_303	1	1.25	15
6_311	1.1429	2.14286	1
6_369	0.95997	0.326189	1
6_372	1.1429	3.93778	7
6_412	1.1279	0.800252	1
6_460	0.96345	1.80898	7
7_222	1.1568	3.6478	2
7_581	1.0555	6.04614	1
7_628	0.96037	1.51345	1
7_729	1.0284	7.501	4
7_934	1.1778	2.7192	1
7_1119	0.93659	3.74523	12
7_1141	0.92797	4.71054	2
7_1192	0.83603	8.08756	1
7_1219	0.89932	5.56348	2
7_1235	0.9061	3.75001	1
7_1311	0.97211	1.51174	88
7_1329	1.0006	1.82699	1
7_1341	1.1339	1.75182	2
7_1714	0.97038	4.98122	30
7_1928	1.047	2.38832	4
7_1949	1.1139	1.73511	6
7_2019	1.0827	3.90936	24
7_2244	1.159	4.07937	1
7_2314	0.9279	1.18137	1
7_2329	1.0815	2.14898	16
7_2550	0.9459	7.56939	1
8_721	1.1352	4.05825	1
8_2817	1.1487	2.54048	1
8_3248	0.89784	13.9511	1
8_4616	0.9678	1.64436	1
8_4760	1.1413	5.42813	1
8_5260	0.9189	3.75886	1
8_5491	1.0845	5.72719	2
8_7748	0.96275	2.70563	3
8_7922	0.82743	7.2401	1
8_7933	0.81625	7.71699	1
8_8221	1.0416	3.34913	5
8_8230	0.99405	6.01141	8
8_12185	1.065	9.53683	1
8_14143	0.89002	6.54559	1
9_3051	0.95824	4.31993	2
9_3854	1.1331	5.02508	1
9_4495	1.1724	6.27178	1
9_18405	0.98606	14.4394	1
9_19203	0.87621	19.1619	1
9_20559	0.95741	13.6968	1
9_20569	0.86371	23.7743	1
9_20790	0.92338	8.92212	1
9_21508	0.99253	12.2806	1
9_35189	1.1232	2.31181	1
9_35458	1.0614	11.3872	2
9_38596	1.1411	4.87501	1
9_38597	0.91744	4.9712	13
9_38598	1.0135	2.74504	1
9_38599	1.1375	3.89197	1
9_49214	0.95352	8.01472	1
9_86359	1.1488	2.73574	1
